"","gp_id","nearest_town","distance","Town_Type","fin_year","arrears_sum_vg","current_demand_sum_vg","total_demand_sum_vg","total_demand_collection_sum_vg","total_balance_sum_vg","compliance_sum_vg","record_count_vg","pct_compliance_g"
"1",1501001026,251837,11.2092754154284,"TMC","2022-2023",1908323.98,223694,2132017.98,249807,1882145.2,149,1896,7.85864978902954
"2",1501001026,251837,11.2092754154284,"TMC","2023-2024",1882145.2,2223597.8,4105743,500905.86,3604837.3,330,1896,17.4050632911392
"3",1501001026,251837,11.2092754154284,"TMC","2024-2025",3604837.3,1283233.19,4888070.49,1463848.14,3424169.20000001,545,1896,28.7447257383966
"4",1501004022,276597,3.08095664960582,"TP","2022-2023",7649687.80000004,1663083,9312770.80000004,827727.44,8485043.36000004,571,5576,10.2403156384505
"5",1501004022,276597,3.08095664960582,"TP","2023-2024",8485043.36000003,5082734.93999999,13567778.3,1502058.64,12065705.25,825,5576,14.7955523672884
"6",1501004022,276597,3.08095664960582,"TP","2024-2025",12065705.25,4938009.20999997,17003714.46,4530628.65,12467939.17,1630,5576,29.232424677188
"7",1502003001,276526,13.0440043862961,"TMC","2022-2023",143218874.5,31108572.89,174327447.39,19915408.03,154411961.23,2474,14085,17.5647852325169
"8",1502003001,276526,13.0440043862961,"TMC","2023-2024",154411961.23,48017798.21,202429759.44,54935701.0299999,147269162.3,4543,14085,32.2541711040114
"9",1502003001,276526,13.0440043862961,"TMC","2024-2025",147269162.3,80036364.8299998,227305527.13,55525050.1799999,171414532.37,5222,14085,37.0749023784168
"10",1503003011,251992,3.27494349632101,"CMC","2022-2023",11098271.09,3814611.46,14912882.55,4959117.03,9953534.56999999,1383,5119,27.0169955069349
"11",1503003011,251992,3.27494349632101,"CMC","2023-2024",9948021.56999999,8078941.99000001,18026963.5600001,6666060.89,11353855.86,1430,5119,27.935143582731
"12",1503003011,251992,3.27494349632101,"CMC","2024-2025",11345458.08,10174157.4699999,21519615.55,7943145.63,13527833.85,1503,5119,29.3612033600313
